Case	In B1	In B2	In B3	In B4	Old B1	Old B2	Old B3	Old B4	New B1	New B2	New B3	New B4	Description
018	19	20	20	20	20	0	39	20	20	20	0	39	First pulls 1 from second (reaches 20); second pulls 1 from third (reaches 20); third (19) merges into fourth in Phase B
019	20	19	20	20	20	0	39	20	20	20	0	39	Second pulls 1 from third (reaches 20); third (19) merges into fourth in Phase B
020	20	20	19	20	20	0	39	20	20	20	0	39	All groups complete except third; third (19) merges into fourth in Phase B
021	20	20	20	19	20	0	39	20	20	20	0	39	Fourth pulls 1 from third (reaches 20); third (19) merges into fourth in Phase B
022	19	19	20	20	20	0	38	20	20	20	0	38	First pulls 1 from second (reaches 20); second pulls 2 from third (reaches 20); third (18) merges into fourth in Phase B
023	20	19	19	20	20	0	38	20	20	20	0	38	Second pulls 1 from third (reaches 20); third (18) merges into fourth in Phase B
024	20	20	19	19	20	0	38	20	20	20	0	38	Fourth pulls 1 from third (reaches 20); third (18) merges into fourth in Phase B
025	19	20	20	19	20	0	38	20	20	20	0	38	First pulls 1 from second (reaches 20); fourth pulls 1 from third (reaches 20); second pulls 1 from third (reaches 20); third (18) merges into fourth in Phase B
026	20	19	20	19	20	0	38	20	20	20	0	38	Fourth pulls 1 from third (reaches 20); second pulls 1 from third (reaches 20); third (18) merges into fourth in Phase B
027	19	20	19	20	20	0	38	20	20	20	0	38	First pulls 1 from second (reaches 20); second pulls 1 from third (reaches 20); third (18) merges into fourth in Phase B
028	19	19	19	20	20	0	37	20	20	20	0	37	First pulls 1 from second (reaches 20); second pulls 2 from third (reaches 20); third (17) merges into fourth in Phase B
029	19	19	20	19	20	0	37	20	20	20	0	37	First pulls 1 from second (reaches 20); fourth pulls 1 from third (reaches 20); second pulls 2 from third (reaches 20); third (17) merges into fourth in Phase B
030	19	20	19	19	20	0	37	20	20	20	0	37	First pulls 1 from second (reaches 20); fourth pulls 1 from third (reaches 20); second pulls 1 from third (reaches 20); third (17) merges into fourth in Phase B
031	20	19	19	19	20	0	37	20	20	20	0	37	Fourth pulls 1 from third (reaches 20); second pulls 1 from third (reaches 20); third (17) merges into fourth in Phase B
039	25	100	1	1	25	20	62	20	25	82	0	20	Fourth pulls 1 from third, then 18 from second (reaches 20)
047	0	0	1	19	20	0	0	0	0	0	0	20	Fourth pulls 1 from third (reaches 20)
048	1	0	0	19	0	0	0	20	20	0	0	0	First pulls all 19 from fourth (reaches 20)
054	0	19	0	1	0	20	0	0	0	0	0	20	Fourth pulls all 19 from second (reaches 20)
061	0	0	10	10	20	0	0	0	0	0	0	20	Fourth pulls all 10 from third (reaches 20)
064	0	10	0	10	20	0	0	0	0	0	0	20	Fourth pulls all 10 from second (reaches 20)
066	19	19	19	19	20	0	36	20	20	20	0	36	First pulls 1 from second (reaches 20); fourth pulls 1 from third (reaches 20); second pulls 2 from third (reaches 20); third (16) merges into fourth in Phase B
069	60	60	13	60	60	53	20	60	60	60	0	73	Third (13) has no unvisited adjacent source; merges into fourth in Phase B
077	55	77	7	40	55	84	0	40	55	77	0	47	Third (7) has no unvisited adjacent source; merges into fourth in Phase B
080	25	7	25	25	25	32	0	25	25	20	0	37	Second pulls 13 from third (reaches 20); third (12) merges into fourth in Phase B
088	22	18	22	18	20	20	20	20	22	20	0	38	Fourth pulls 2 from third (reaches 20); second pulls 2 from third (reaches 20); third (18) merges into fourth in Phase B
089	18	18	22	22	20	38	0	22	20	20	0	40	First pulls 2 from second (reaches 20); second pulls 4 from third (reaches 20); third (18) merges into fourth in Phase B
090	22	22	18	18	22	38	0	20	22	22	0	36	Fourth pulls 2 from third (reaches 20); third (16) merges into fourth in Phase B
092	22	18	25	10	22	33	0	20	22	20	0	33	Fourth pulls 10 from third (reaches 20); second pulls 2 from third (reaches 20); third (13) merges into fourth in Phase B
093	19	19	19	19	20	36	0	20	20	20	0	36	First pulls 1 from second (reaches 20); fourth pulls 1 from third (reaches 20); second pulls 2 from third (reaches 20); third (16) merges into fourth in Phase B
