WeightBucket	Y	C	T	U	Total
15.00	18095	0	0	0	18095
16.00	20085	0	0	0	20085
17.00	20503	0	0	0	20503
18.00	20899	0	0	0	20899
19.00	21475	0	0	0	21475
20.00	21888	0	0	0	21888
21.00	22419	0	0	0	22419
22.00	22818	0	0	0	22818
23.00	23596	0	0	0	23596
24.00	24191	0	0	0	24191
25.00	25252	0	0	0	25252
26.00	25903	0	0	0	25903
27.00	26813	0	0	0	26813
28.00	27973	0	0	0	27973
29.00	29344	0	0	0	29344
30.00	30400	0	0	0	30400
31.00	32745	0	0	0	32745
32.00	34398	0	0	0	34398
33.00	37080	0	0	0	37080
34.00	40303	0	0	0	40303
35.00	44765	0	0	0	44765
36.00	50231	0	0	0	50231
37.00	59854	0	0	0	59854
38.00	119521	0	0	0	119521
39.00	147204	0	0	0	147204
40.00	21	13267	0	0	13288
41.00	0	12986	0	0	12986
42.00	0	13095	0	0	13095
43.00	0	13059	0	0	13059
44.00	0	13055	0	0	13055
45.00	0	13145	0	0	13145
46.00	0	12997	0	0	12997
47.00	0	13151	0	0	13151
48.00	0	13146	0	0	13146
49.00	0	13208	0	0	13208
50.00	0	13126	0	0	13126
51.00	0	13158	0	0	13158
52.00	0	13239	0	0	13239
53.00	0	12927	0	0	12927
54.00	0	13122	0	0	13122
55.00	0	13094	0	0	13094
56.00	0	13165	0	0	13165
57.00	0	13028	0	0	13028
58.00	0	13322	0	0	13322
59.00	0	13098	0	0	13098
60.00	0	13374	0	0	13374
61.00	0	13024	0	0	13024
62.00	0	13075	0	0	13075
63.00	0	13203	0	0	13203
64.00	0	13147	0	0	13147
65.00	0	13080	0	0	13080
66.00	0	13250	0	0	13250
67.00	0	12860	0	0	12860
68.00	0	13011	0	0	13011
69.00	0	13174	0	0	13174
70.00	0	12957	0	0	12957
71.00	0	13010	0	0	13010
72.00	0	13087	0	0	13087
73.00	0	13233	0	0	13233
74.00	0	13049	0	0	13049
75.00	0	13250	0	0	13250
76.00	0	13219	0	0	13219
77.00	0	13252	0	0	13252
78.00	0	17816	0	0	17816
79.00	0	8284	0	0	8284
80.00	0	2	4802	0	4804
81.00	0	0	4847	0	4847
82.00	0	0	4888	0	4888
83.00	0	0	4816	0	4816
84.00	0	0	4756	0	4756
85.00	0	0	4733	0	4733
