WeightBucket	Y	C	T	U	Total
15.00	18639	0	0	0	18639
16.00	20861	0	0	0	20861
17.00	21320	0	0	0	21320
18.00	21927	0	0	0	21927
19.00	22023	0	0	0	22023
20.00	22694	0	0	0	22694
21.00	23323	0	0	0	23323
22.00	23828	0	0	0	23828
23.00	24697	0	0	0	24697
24.00	26000	0	0	0	26000
25.00	26445	0	0	0	26445
26.00	27376	0	0	0	27376
27.00	28136	0	0	0	28136
28.00	29779	0	0	0	29779
29.00	31020	0	0	0	31020
30.00	32436	0	0	0	32436
31.00	34121	0	0	0	34121
32.00	36474	0	0	0	36474
33.00	39071	0	0	0	39071
34.00	42789	0	0	0	42789
35.00	47322	0	0	0	47322
36.00	53408	0	0	0	53408
37.00	63737	0	0	0	63737
38.00	127201	0	0	0	127201
39.00	155373	0	0	0	155373
40.00	0	25058	0	0	25058
41.00	0	24904	0	0	24904
42.00	0	24999	0	0	24999
43.00	0	25299	0	0	25299
44.00	0	25083	0	0	25083
45.00	0	25007	0	0	25007
46.00	0	25014	0	0	25014
47.00	0	25211	0	0	25211
48.00	0	25041	0	0	25041
49.00	0	25012	0	0	25012
50.00	0	24764	0	0	24764
51.00	0	25019	0	0	25019
52.00	0	25170	0	0	25170
53.00	0	24990	0	0	24990
54.00	0	25022	0	0	25022
55.00	0	25144	0	0	25144
56.00	0	24826	0	0	24826
57.00	0	25171	0	0	25171
58.00	0	24882	0	0	24882
59.00	0	24834	0	0	24834
60.00	0	24707	0	0	24707
61.00	0	24675	0	0	24675
62.00	0	24997	0	0	24997
63.00	0	25073	0	0	25073
64.00	0	24776	0	0	24776
65.00	0	24964	0	0	24964
66.00	0	24981	0	0	24981
67.00	0	24902	0	0	24902
68.00	0	24786	0	0	24786
69.00	0	24903	0	0	24903
70.00	0	25103	0	0	25103
71.00	0	25340	0	0	25340
72.00	0	25396	0	0	25396
73.00	0	24920	0	0	24920
74.00	0	25148	0	0	25148
75.00	0	25060	0	0	25060
76.00	0	24890	0	0	24890
77.00	0	25067	0	0	25067
78.00	0	34257	0	0	34257
79.00	0	15605	0	0	15605
80.00	0	0	20172	0	20172
81.00	0	0	19800	0	19800
82.00	0	0	20137	0	20137
83.00	0	0	19894	0	19894
84.00	0	0	20008	0	20008
85.00	0	0	19986	0	19986
86.00	0	0	19901	0	19901
87.00	0	0	20013	0	20013
88.00	0	0	19975	0	19975
89.00	0	0	19728	0	19728
90.00	0	0	20053	0	20053
91.00	0	0	20018	0	20018
92.00	0	0	19995	0	19995
93.00	0	0	19741	0	19741
94.00	0	0	19841	0	19841
95.00	0	0	19888	0	19888
96.00	0	0	19993	0	19993
97.00	0	0	20187	0	20187
98.00	0	0	19911	0	19911
99.00	0	0	20100	0	20100
100.00	0	0	20237	0	20237
101.00	0	0	20052	0	20052
102.00	0	0	20035	0	20035
103.00	0	0	19941	0	19941
104.00	0	0	19959	0	19959
105.00	0	0	20022	0	20022
106.00	0	0	19937	0	19937
107.00	0	0	20126	0	20126
108.00	0	0	19870	0	19870
109.00	0	0	19858	0	19858
110.00	0	0	20161	0	20161
111.00	0	0	19995	0	19995
112.00	0	0	20155	0	20155
