n_g,n_s,n_b,promoted,KS_gold,KS_silver,KS_bronze,KS_max,KS_mean
1,1,1,9904,0.42098462472894227,0.4326373977301956,0.4295559975646951,0.4326373977301956,0.42772600667461097
1,1,2,6004,0.4135733700887939,0.4221435858503395,0.5564028671801784,0.5564028671801784,0.46403994103977064
1,1,3,5882,0.4131830035622054,0.42159085448525835,0.5750920964619832,0.5750920964619832,0.4699553181698157
1,1,4,5871,0.4131470092376678,0.42153988906998374,0.5768153645659557,0.5768153645659557,0.47050075429120247
1,1,5,5870,0.41314373033698737,0.42153524637875495,0.5769723455631304,0.5769723455631304,0.4705504407596242
1,1,6,5870,0.41314373033698737,0.42153524637875495,0.5769723455631304,0.5769723455631304,0.4705504407596242
1,1,7,5870,0.41314373033698737,0.42153524637875495,0.5769723455631304,0.5769723455631304,0.4705504407596242
1,1,8,5870,0.41314373033698737,0.42153524637875495,0.5769723455631304,0.5769723455631304,0.4705504407596242
1,1,9,5870,0.41314373033698737,0.42153524637875495,0.5769723455631304,0.5769723455631304,0.4705504407596242
1,1,10,5870,0.41314373033698737,0.42153524637875495,0.5769723455631304,0.5769723455631304,0.4705504407596242
1,1,11,5870,0.41314373033698737,0.42153524637875495,0.5769723455631304,0.5769723455631304,0.4705504407596242
1,1,12,5870,0.41314373033698737,0.42153524637875495,0.5769723455631304,0.5769723455631304,0.4705504407596242
1,1,13,5870,0.41314373033698737,0.42153524637875495,0.5769723455631304,0.5769723455631304,0.4705504407596242
1,1,14,5870,0.41314373033698737,0.42153524637875495,0.5769723455631304,0.5769723455631304,0.4705504407596242
1,1,15,5870,0.41314373033698737,0.42153524637875495,0.5769723455631304,0.5769723455631304,0.4705504407596242
1,2,1,6791,0.41575448607969423,0.5806138482419161,0.4192345735046745,0.5806138482419161,0.47186763594209497
1,2,2,2680,0.390229977126888,0.5436943191021637,0.5124264633896707,0.5436943191021637,0.48211691987290745
1,2,3,2540,0.3879059672549876,0.5445904291033388,0.5596676198122819,0.5596676198122819,0.4973880053902027
1,2,4,2526,0.387659397719885,0.5451605627059972,0.5646797456718464,0.5646797456718464,0.49916656869924286
1,2,5,2525,0.3876416809838408,0.5451166628290736,0.5650398814478943,0.5650398814478943,0.4992660750869362
1,2,6,2525,0.3876416809838408,0.5451166628290736,0.5650398814478943,0.5650398814478943,0.4992660750869362
1,2,7,2525,0.3876416809838408,0.5451166628290736,0.5650398814478943,0.5650398814478943,0.4992660750869362
1,2,8,2525,0.3876416809838408,0.5451166628290736,0.5650398814478943,0.5650398814478943,0.4992660750869362
1,2,9,2525,0.3876416809838408,0.5451166628290736,0.5650398814478943,0.5650398814478943,0.4992660750869362
1,2,10,2525,0.3876416809838408,0.5451166628290736,0.5650398814478943,0.5650398814478943,0.4992660750869362
1,2,11,2525,0.3876416809838408,0.5451166628290736,0.5650398814478943,0.5650398814478943,0.4992660750869362
1,2,12,2525,0.3876416809838408,0.5451166628290736,0.5650398814478943,0.5650398814478943,0.4992660750869362
1,2,13,2525,0.3876416809838408,0.5451166628290736,0.5650398814478943,0.5650398814478943,0.4992660750869362
1,2,14,2525,0.3876416809838408,0.5451166628290736,0.5650398814478943,0.5650398814478943,0.4992660750869362
1,2,15,2525,0.3876416809838408,0.5451166628290736,0.5650398814478943,0.5650398814478943,0.4992660750869362
1,3,1,6707,0.41554608704991336,0.5921938261887674,0.4188233081627176,0.5921938261887674,0.4755210738004661
1,3,2,2589,0.3887479607891099,0.5748953533284828,0.5101070926881377,0.5748953533284828,0.4912501356019101
1,3,3,2447,0.38621516154399327,0.5783616546760311,0.5597096124177221,0.5783616546760311,0.5080954762125821
1,3,4,2433,0.3859494377767827,0.5791479081237634,0.5649135654870752,0.5791479081237634,0.510003637129207
1,3,5,2432,0.3859303404418919,0.5791163045695635,0.5652875690456014,0.5791163045695635,0.5101114046856856
1,3,6,2432,0.3859303404418919,0.5791163045695635,0.5652875690456014,0.5791163045695635,0.5101114046856856
1,3,7,2431,0.38591122739549555,0.5794960283674373,0.5656618802993632,0.5794960283674373,0.510356378687432
1,3,8,2431,0.38591122739549555,0.5794960283674373,0.5656618802993632,0.5794960283674373,0.510356378687432
1,3,9,2431,0.38591122739549555,0.5794960283674373,0.5656618802993632,0.5794960283674373,0.510356378687432
1,3,10,2431,0.38591122739549555,0.5794960283674373,0.5656618802993632,0.5794960283674373,0.510356378687432
1,3,11,2431,0.38591122739549555,0.5794960283674373,0.5656618802993632,0.5794960283674373,0.510356378687432
1,3,12,2431,0.38591122739549555,0.5794960283674373,0.5656618802993632,0.5794960283674373,0.510356378687432
1,3,13,2431,0.38591122739549555,0.5794960283674373,0.5656618802993632,0.5794960283674373,0.510356378687432
1,3,14,2431,0.38591122739549555,0.5794960283674373,0.5656618802993632,0.5794960283674373,0.510356378687432
1,3,15,2431,0.38591122739549555,0.5794960283674373,0.5656618802993632,0.5794960283674373,0.510356378687432
1,4,1,6707,0.41554608704991336,0.5921938261887674,0.4188233081627176,0.5921938261887674,0.4755210738004661
1,4,2,2589,0.3887479607891099,0.5748953533284828,0.5101070926881377,0.5748953533284828,0.4912501356019101
1,4,3,2447,0.38621516154399327,0.5783616546760311,0.5597096124177221,0.5783616546760311,0.5080954762125821
1,4,4,2433,0.3859494377767827,0.5791479081237634,0.5649135654870752,0.5791479081237634,0.510003637129207
1,4,5,2431,0.38591122739549555,0.5794960283674373,0.5656618802993632,0.5794960283674373,0.510356378687432
1,4,6,2431,0.38591122739549555,0.5794960283674373,0.5656618802993632,0.5794960283674373,0.510356378687432
1,4,7,2430,0.38589209861819684,0.5798760646951862,0.5660364996282308,0.5798760646951862,0.5106015543138712
1,4,8,2430,0.38589209861819684,0.5798760646951862,0.5660364996282308,0.5798760646951862,0.5106015543138712
1,4,9,2430,0.38589209861819684,0.5798760646951862,0.5660364996282308,0.5798760646951862,0.5106015543138712
1,4,10,2430,0.38589209861819684,0.5798760646951862,0.5660364996282308,0.5798760646951862,0.5106015543138712
1,4,11,2430,0.38589209861819684,0.5798760646951862,0.5660364996282308,0.5798760646951862,0.5106015543138712
1,4,12,2430,0.38589209861819684,0.5798760646951862,0.5660364996282308,0.5798760646951862,0.5106015543138712
1,4,13,2430,0.38589209861819684,0.5798760646951862,0.5660364996282308,0.5798760646951862,0.5106015543138712
1,4,14,2430,0.38589209861819684,0.5798760646951862,0.5660364996282308,0.5798760646951862,0.5106015543138712
1,4,15,2430,0.38589209861819684,0.5798760646951862,0.5660364996282308,0.5798760646951862,0.5106015543138712
1,5,1,6707,0.41554608704991336,0.5921938261887674,0.4188233081627176,0.5921938261887674,0.4755210738004661
1,5,2,2589,0.3887479607891099,0.5748953533284828,0.5101070926881377,0.5748953533284828,0.4912501356019101
1,5,3,2447,0.38621516154399327,0.5783616546760311,0.5597096124177221,0.5783616546760311,0.5080954762125821
1,5,4,2433,0.3859494377767827,0.5791479081237634,0.5649135654870752,0.5791479081237634,0.510003637129207
1,5,5,2431,0.38591122739549555,0.5794960283674373,0.5656618802993632,0.5794960283674373,0.510356378687432
1,5,6,2431,0.38591122739549555,0.5794960283674373,0.5656618802993632,0.5794960283674373,0.510356378687432
1,5,7,2430,0.38589209861819684,0.5798760646951862,0.5660364996282308,0.5798760646951862,0.5106015543138712
1,5,8,2430,0.38589209861819684,0.5798760646951862,0.5660364996282308,0.5798760646951862,0.5106015543138712
1,5,9,2430,0.38589209861819684,0.5798760646951862,0.5660364996282308,0.5798760646951862,0.5106015543138712
1,5,10,2430,0.38589209861819684,0.5798760646951862,0.5660364996282308,0.5798760646951862,0.5106015543138712
1,5,11,2430,0.38589209861819684,0.5798760646951862,0.5660364996282308,0.5798760646951862,0.5106015543138712
1,5,12,2430,0.38589209861819684,0.5798760646951862,0.5660364996282308,0.5798760646951862,0.5106015543138712
1,5,13,2430,0.38589209861819684,0.5798760646951862,0.5660364996282308,0.5798760646951862,0.5106015543138712
1,5,14,2430,0.38589209861819684,0.5798760646951862,0.5660364996282308,0.5798760646951862,0.5106015543138712
1,5,15,2430,0.38589209861819684,0.5798760646951862,0.5660364996282308,0.5798760646951862,0.5106015543138712
1,6,1,6707,0.41554608704991336,0.5921938261887674,0.4188233081627176,0.5921938261887674,0.4755210738004661
1,6,2,2589,0.3887479607891099,0.5748953533284828,0.5101070926881377,0.5748953533284828,0.4912501356019101
1,6,3,2446,0.3861962821512347,0.5787387413083851,0.5600793477820993,0.5787387413083851,0.5083381237472397
1,6,4,2431,0.38591122739549555,0.5799073817199671,0.5656618802993632,0.5799073817199671,0.5104934964716086
