n_g,n_s,n_b,promoted,TP,precision_LB,recall,F1
3,3,3,3564,80,0.02244668911335578,0.9411764705882353,0.04384762948753083
3,3,4,3195,79,0.024726134585289515,0.9294117647058824,0.048170731707317074
3,3,5,3069,78,0.02541544477028348,0.9176470588235294,0.04946100190234623
3,3,6,3004,78,0.02596537949400799,0.9176470588235294,0.05050178051149239
3,3,7,2982,77,0.025821596244131457,0.9058823529411765,0.05021193348549071
3,3,8,2974,77,0.02589105581708137,0.9058823529411765,0.05034324942791762
3,3,9,2969,77,0.02593465813405187,0.9058823529411765,0.0504256712508186
3,3,10,2967,77,0.025952140208965285,0.9058823529411765,0.05045871559633028
3,3,11,2966,77,0.025960890087660147,0.9058823529411765,0.05047525401507703
3,3,12,2966,77,0.025960890087660147,0.9058823529411765,0.05047525401507703
3,3,13,2966,77,0.025960890087660147,0.9058823529411765,0.05047525401507703
3,3,14,2966,77,0.025960890087660147,0.9058823529411765,0.05047525401507703
3,3,15,2966,77,0.025960890087660147,0.9058823529411765,0.05047525401507703
3,3,16,2966,77,0.025960890087660147,0.9058823529411765,0.05047525401507703
3,3,17,2966,77,0.025960890087660147,0.9058823529411765,0.05047525401507703
3,3,18,2966,77,0.025960890087660147,0.9058823529411765,0.05047525401507703
3,3,19,2966,77,0.025960890087660147,0.9058823529411765,0.05047525401507703
3,3,20,2966,77,0.025960890087660147,0.9058823529411765,0.05047525401507703
3,3,21,2966,77,0.025960890087660147,0.9058823529411765,0.05047525401507703
3,3,22,2966,77,0.025960890087660147,0.9058823529411765,0.05047525401507703
3,3,23,2966,77,0.025960890087660147,0.9058823529411765,0.05047525401507703
3,3,24,2966,77,0.025960890087660147,0.9058823529411765,0.05047525401507703
3,3,25,2966,77,0.025960890087660147,0.9058823529411765,0.05047525401507703
3,3,26,2966,77,0.025960890087660147,0.9058823529411765,0.05047525401507703
3,3,27,2966,77,0.025960890087660147,0.9058823529411765,0.05047525401507703
3,3,28,2966,77,0.025960890087660147,0.9058823529411765,0.05047525401507703
