threshold,n_cohort,primary_pcr,p25_pcr,p50_pcr,p75_pcr,p90_pcr,scope,medal
1,11065,118,118,373,902,1715,combined,Gold
2,5914,459,459,832,1411,2205,combined,Gold
3,4528,633,633,1032,1698,2340,combined,Gold
4,3733,759,759,1176,1881,2427,combined,Gold
5,3240,856,856,1295,2003,2492,combined,Gold
6,2892,935,935,1405,2089,2551,combined,Gold
7,2581,1015,1015,1533,2156,2609,combined,Gold
8,2322,1075,1075,1646,2215,2685,combined,Gold
9,2119,1144,1144,1730,2257,2729,combined,Gold
10,1955,1211,1211,1797,2297,2799,combined,Gold
11,1832,1241,1241,1851,2334,2833,combined,Gold
12,1715,1301,1301,1913,2366,2883,combined,Gold
13,1612,1342,1342,1951,2397,2932,combined,Gold
14,1515,1405,1405,2001,2420,2984,combined,Gold
15,1444,1451,1451,2041,2441,3057,combined,Gold
16,1369,1501,1501,2075,2467,3149,combined,Gold
17,1308,1537,1537,2098,2487,3174,combined,Gold
18,1237,1562,1562,2131,2507,3202,combined,Gold
19,1173,1614,1614,2172,2534,3296,combined,Gold
20,1099,1650,1650,2196,2575,3329,combined,Gold
21,1038,1704,1704,2222,2608,3410,combined,Gold
22,997,1714,1714,2236,2633,3499,combined,Gold
23,946,1726,1726,2258,2666,3590,combined,Gold
24,904,1732,1732,2270,2706,3636,combined,Gold
25,864,1750,1750,2294,2723,3777,combined,Gold
26,828,1761,1761,2311,2743,3819,combined,Gold
27,787,1778,1778,2327,2781,3874,combined,Gold
28,749,1829,1829,2353,2822,3944,combined,Gold
29,725,1868,1868,2364,2835,3997,combined,Gold
30,701,1895,1895,2377,2873,4058,combined,Gold
31,674,1924,1924,2405,2895,4070,combined,Gold
32,657,1904,1904,2413,2925,4082,combined,Gold
33,638,1933,1933,2428,2942,4091,combined,Gold
34,616,1968,1968,2445,2961,4182,combined,Gold
35,594,1997,1997,2463,3025,4215,combined,Gold
36,572,2014,2014,2469,3096,4282,combined,Gold
37,552,2029,2029,2476,3148,4297,combined,Gold
38,539,2034,2034,2480,3153,4310,combined,Gold
39,523,2066,2066,2497,3175,4332,combined,Gold
40,505,2081,2081,2512,3197,4387,combined,Gold
1,12426,78,78,294,813,1600,combined,Silver
2,6181,426,426,796,1372,2181,combined,Silver
3,4666,625,625,1014,1664,2321,combined,Silver
4,3877,742,742,1157,1844,2409,combined,Silver
5,3347,854,854,1284,1972,2475,combined,Silver
6,2968,927,927,1391,2071,2529,combined,Silver
7,2651,1012,1012,1499,2135,2591,combined,Silver
8,2376,1075,1075,1623,2199,2663,combined,Silver
9,2180,1132,1132,1705,2245,2723,combined,Silver
10,2016,1199,1199,1776,2280,2757,combined,Silver
11,1884,1241,1241,1832,2315,2817,combined,Silver
12,1773,1287,1287,1883,2353,2869,combined,Silver
13,1667,1331,1331,1930,2380,2909,combined,Silver
14,1570,1369,1369,1978,2404,2948,combined,Silver
15,1497,1418,1418,2025,2427,3007,combined,Silver
16,1408,1476,1476,2069,2448,3121,combined,Silver
17,1331,1507,1507,2095,2476,3163,combined,Silver
18,1271,1534,1534,2121,2498,3193,combined,Silver
19,1207,1544,1544,2143,2517,3220,combined,Silver
20,1138,1599,1599,2180,2557,3306,combined,Silver
21,1085,1634,1634,2198,2576,3350,combined,Silver
22,1049,1649,1649,2215,2593,3397,combined,Silver
23,1008,1672,1672,2226,2614,3489,combined,Silver
24,968,1690,1690,2245,2649,3578,combined,Silver
25,925,1714,1714,2260,2673,3597,combined,Silver
26,884,1729,1729,2276,2711,3724,combined,Silver
27,849,1732,1732,2288,2726,3797,combined,Silver
28,810,1740,1740,2307,2752,3829,combined,Silver
29,782,1758,1758,2315,2793,3881,combined,Silver
30,744,1778,1778,2341,2823,3965,combined,Silver
31,718,1786,1786,2351,2837,4014,combined,Silver
32,698,1801,1801,2361,2879,4058,combined,Silver
33,666,1834,1834,2376,2910,4078,combined,Silver
34,646,1845,1845,2386,2932,4086,combined,Silver
35,623,1900,1900,2402,2955,4163,combined,Silver
36,595,1953,1953,2429,3019,4211,combined,Silver
37,577,1956,1956,2437,3063,4271,combined,Silver
38,554,1963,1963,2459,3147,4296,combined,Silver
39,539,1984,1984,2471,3153,4310,combined,Silver
40,517,2039,2039,2489,3185,4345,combined,Silver
1,13286,57,57,254,759,1525,combined,Bronze
2,6288,424,424,780,1350,2175,combined,Bronze
3,4751,610,610,998,1646,2311,combined,Bronze
4,3876,753,753,1154,1844,2410,combined,Bronze
5,3348,846,846,1267,1968,2475,combined,Bronze
6,2960,935,935,1385,2072,2532,combined,Bronze
7,2654,1004,1004,1491,2132,2589,combined,Bronze
8,2427,1064,1064,1596,2190,2656,combined,Bronze
9,2216,1113,1113,1677,2236,2716,combined,Bronze
10,2052,1168,1168,1750,2273,2749,combined,Bronze
11,1905,1220,1220,1811,2311,2810,combined,Bronze
12,1775,1254,1254,1868,2346,2868,combined,Bronze
13,1667,1299,1299,1930,2378,2909,combined,Bronze
14,1575,1346,1346,1982,2401,2947,combined,Bronze
15,1498,1399,1399,2026,2427,3007,combined,Bronze
16,1416,1443,1443,2070,2446,3115,combined,Bronze
17,1338,1481,1481,2094,2474,3155,combined,Bronze
18,1272,1505,1505,2112,2495,3192,combined,Bronze
19,1219,1537,1537,2128,2507,3214,combined,Bronze
20,1162,1564,1564,2149,2533,3300,combined,Bronze
21,1111,1605,1605,2181,2567,3325,combined,Bronze
22,1060,1613,1613,2196,2577,3379,combined,Bronze
23,1023,1638,1638,2217,2607,3448,combined,Bronze
24,987,1646,1646,2225,2624,3509,combined,Bronze
25,950,1676,1676,2242,2656,3587,combined,Bronze
26,912,1690,1690,2262,2689,3622,combined,Bronze
27,879,1703,1703,2264,2711,3759,combined,Bronze
28,834,1720,1720,2278,2726,3815,combined,Bronze
29,800,1727,1727,2287,2755,3855,combined,Bronze
30,772,1735,1735,2307,2802,3884,combined,Bronze
31,743,1742,1742,2311,2821,3969,combined,Bronze
32,721,1743,1743,2319,2835,4004,combined,Bronze
33,699,1744,1744,2327,2872,4058,combined,Bronze
34,676,1757,1757,2336,2886,4067,combined,Bronze
35,650,1773,1773,2353,2928,4082,combined,Bronze
36,629,1766,1766,2353,2944,4109,combined,Bronze
37,605,1776,1776,2364,2960,4185,combined,Bronze
38,578,1814,1814,2382,3033,4269,combined,Bronze
39,559,1815,1815,2384,3102,4294,combined,Bronze
40,540,1832,1832,2402,3148,4310,combined,Bronze
1,4956,117,117,370,877,1633,steam,Gold
2,2565,466,466,826,1351,2142,steam,Gold
3,1925,627,627,1022,1667,2296,steam,Gold
4,1550,750,750,1163,1853,2409,steam,Gold
5,1312,856,856,1287,1997,2497,steam,Gold
6,1145,953,953,1426,2099,2563,steam,Gold
7,1012,1022,1022,1590,2150,2624,steam,Gold
8,895,1098,1098,1717,2219,2710,steam,Gold
9,812,1157,1157,1777,2265,2728,steam,Gold
10,749,1214,1214,1827,2305,2767,steam,Gold
11,699,1272,1272,1912,2348,2834,steam,Gold
12,656,1298,1298,1939,2385,2895,steam,Gold
13,611,1356,1356,1988,2415,2978,steam,Gold
14,572,1401,1401,2025,2451,3059,steam,Gold
15,542,1418,1418,2070,2485,3152,steam,Gold
16,508,1520,1520,2111,2499,3188,steam,Gold
17,489,1530,1530,2127,2519,3214,steam,Gold
18,465,1545,1545,2143,2561,3227,steam,Gold
19,438,1600,1600,2176,2575,3363,steam,Gold
20,411,1645,1645,2197,2614,3486,steam,Gold
21,385,1702,1702,2258,2657,3583,steam,Gold
22,367,1711,1711,2278,2701,3597,steam,Gold
23,345,1732,1732,2298,2723,3711,steam,Gold
24,328,1731,1731,2310,2727,3799,steam,Gold
25,314,1738,1738,2325,2742,3852,steam,Gold
26,300,1748,1748,2365,2768,3940,steam,Gold
27,281,1762,1762,2397,2834,3987,steam,Gold
28,255,1928,1928,2452,2908,4145,steam,Gold
29,248,1930,1930,2462,2961,4195,steam,Gold
30,237,1932,1932,2480,3007,4241,steam,Gold
31,227,1956,1956,2487,3089,4277,steam,Gold
32,221,1950,1950,2489,3148,4298,steam,Gold
33,216,1987,1987,2498,3153,4304,steam,Gold
34,209,2045,2045,2509,3163,4346,steam,Gold
35,202,2065,2065,2519,3194,4475,steam,Gold
36,191,2104,2104,2563,3221,4538,steam,Gold
37,187,2107,2107,2567,3226,4557,steam,Gold
38,181,2119,2119,2575,3326,4587,steam,Gold
39,178,2121,2121,2575,3349,4596,steam,Gold
40,173,2135,2135,2575,3378,4613,steam,Gold
1,5568,78,78,296,786,1499,steam,Silver
2,2701,438,438,783,1309,2125,steam,Silver
3,1977,619,619,1011,1633,2283,steam,Silver
4,1600,760,760,1156,1830,2395,steam,Silver
5,1360,867,867,1286,1963,2487,steam,Silver
6,1178,926,926,1412,2091,2552,steam,Silver
7,1043,1014,1014,1539,2138,2592,steam,Silver
8,910,1111,1111,1704,2216,2706,steam,Silver
9,843,1184,1184,1774,2252,2725,steam,Silver
10,769,1240,1240,1842,2296,2755,steam,Silver
11,713,1303,1303,1915,2342,2825,steam,Silver
12,664,1350,1350,1951,2377,2890,steam,Silver
13,626,1406,1406,1989,2399,2936,steam,Silver
14,590,1420,1420,2037,2439,3009,steam,Silver
15,559,1483,1483,2072,2464,3122,steam,Silver
16,519,1540,1540,2114,2498,3167,steam,Silver
17,489,1600,1600,2135,2527,3214,steam,Silver
18,468,1605,1605,2149,2555,3225,steam,Silver
19,438,1633,1633,2194,2575,3363,steam,Silver
20,408,1672,1672,2219,2624,3491,steam,Silver
21,395,1687,1687,2229,2631,3548,steam,Silver
22,377,1702,1702,2264,2686,3591,steam,Silver
23,355,1731,1731,2296,2712,3624,steam,Silver
24,340,1727,1727,2308,2724,3760,steam,Silver
25,323,1762,1762,2354,2731,3809,steam,Silver
26,312,1794,1794,2374,2745,3863,steam,Silver
