scope,medal,a,b,r_squared,fit_points,implied_PCR_newbies_thr,implied_PCR_middles_thr
combined,Gold,0.026153646989765834,0.8014799428272744,0.6158417509537804,11025,371.3063915959115,2093.7160154174067
combined,Silver,0.0489273315281518,0.7085971122721552,0.610774693514281,12338,500.0424239041997,3229.2544078737096
combined,Bronze,0.08378293194617713,0.6237508323185802,0.5875279232314754,13175,703.0614984224568,6489.608031408448
steam,Gold,0.03650252763973128,0.7318163494062062,0.5739489176160288,4922,413.5244046976571,2749.1211336878905
steam,Silver,0.062070894276531584,0.6524179538939754,0.5750849426333459,5517,592.9609058332117,4496.536273182664
steam,Bronze,0.09641998967947249,0.5846503852563318,0.5627428487467003,5788,857.1166421859699,9179.472692212415
ps,Gold,0.022948200845090493,0.8215053875505047,0.6239880847908916,4076,376.88833853984653,2037.4490778480026
ps,Silver,0.04190839578735799,0.7326329967932373,0.6163709184548481,4430,503.7928088725856,3060.3432356539342
ps,Bronze,0.07829288169407805,0.6311809722319655,0.5835637532518289,4904,724.6213632378918,6515.891463929104
xb,Gold,0.015932495433939552,0.9217058567268164,0.7127921674932014,2027,293.81443093785015,1322.1325427522872
xb,Silver,0.037235783452377706,0.7969644139648755,0.7016354411461032,2391,353.6264798322507,1857.021460334475
xb,Bronze,0.06911049293846688,0.702237110133689,0.6739557425228037,2483,444.48862773305035,3200.415676200597
