UserId	Username	Platform	Level	Rank	CurrentPCR	Registrations	Started	ZeroScore	NoShows	NoShowSharePct	RatingFromNoShow_DQ	RatingFromRealPlay	RatingNetDelta	Gold	Silver	Bronze	Disqualifications	LifetimeGold	LifetimeSilver	LifetimeBronze	Played_NMT	Prizes_NMT	TotalPrizes	IsBanned	BanEnd	Verdict
13D390E6-0CB7-4F30-9846-24CC994BBDE2	JFF_Gothyka	Steam	106	9	92	60	23	1	37	61.67	-513	388	-125	3	3	4	2	11	10	13	16 / 7 / 0	10 / 0 / 0	10	true	2026-08-12 00:00:00	BANNED
47FEE9FA-C9E6-4DBE-8742-63B56558D890	LaccFarro	Steam	97	5	34	36	21	4	14	38.89	-228	160	-68	4	1	2	2	18	6	11	21 / 0 / 0	7 / 0 / 0	7	true	2026-08-12 00:00:00	BANNED
B187E932-866F-454B-B455-A9F5F3240AF3	JIALIN0720	Steam	106	56	790	51	16	2	35	68.63	-449	304	-145	3	1	2	0	73	53	46	0 / 16 / 0	0 / 6 / 0	6			WATCH
17999A3E-1BAB-479A-B4DE-374EB48FF867	Captain_Djack_Sparrow	Steam	110	6	49	49	24	0	25	51.02	-341	250	-91	1	1	4	0	1	3	9	15 / 8 / 1	5 / 1 / 0	6	true	2026-07-27 00:00:00	BANNED
A0239A6D-6CF4-48ED-92C5-7EDDFD118C76	MORPH3US	Steam	107	0	35	48	26	2	22	45.83	-286	240	-46	1	4	1	0	1	4	1	15 / 11 / 0	6 / 0 / 0	6			WATCH
8987D0B6-E42E-45B1-B66A-BEFF60D7D3C5	CreekSamurai	Steam	68	0	89	45	29	4	16	35.56	-240	235	-5	3	2	1	1	5	4	7	15 / 14 / 0	6 / 0 / 0	6	true	2026-07-26 00:00:00	BANNED
42065519-567D-4D9E-B777-C2F16E9C5080	wesleytorres1	Steam	88	0	0	25	7	1	18	72	-238	212	-26	2	1	2	0	2	1	3	7 / 0 / 0	5 / 0 / 0	5			WATCH
9757FD6A-8435-409A-9F83-33214AF80424	TrcikLowFiv	Steam	95	0	924	28	16	0	12	42.86	-166	253	87	3	0	2	0	22	15	13	0 / 16 / 0	0 / 5 / 0	5	true	2026-06-12 00:00:00	WATCH
7F4002BB-B58E-44AA-ADC6-7B46BE3BB9E0	sandaljepitt	Steam	66	0	39	14	5	0	9	64.29	-146	180	34	4	0	1	0	4		1	5 / 0 / 0	5 / 0 / 0	5	true	2026-07-26 00:00:00	WATCH
135725A2-637F-44F3-8389-DF61B85F4E67	X1aoDouYa	Steam	95	17	786	20	14	1	6	30	-93	224	131	1	1	2	0	18	19	21	0 / 14 / 0	0 / 4 / 0	4	true	2026-06-17 00:00:00	WATCH
