line
"2026-07-27T08:10:50Z	Player registered for Competition #374117 'Brucia il labirinto'"
"2026-07-27T08:11:08Z	Player registered for Competition #374116 'Le dimensioni contano'"
"2026-07-27T18:11:31Z	About to process tournament Competition #374116 'Le dimensioni contano' result. Place: "
"2026-07-27T18:11:31Z	Tournament reward Competition #374116 'Le dimensioni contano' added CompetitionRating -11 (107 -> 96)"
"2026-07-27T20:00:05Z	About to process tournament Competition #374117 'Brucia il labirinto' result. Place: "
"2026-07-27T20:00:05Z	Tournament reward Competition #374117 'Brucia il labirinto' added CompetitionRating -20 (96 -> 76)"
"2026-07-29T12:42:51Z	Player registered for Competition #374318 'Brucia il labirinto'"
"2026-07-29T20:12:01Z	About to process tournament Competition #374318 'Brucia il labirinto' result. Place: "
"2026-07-29T20:12:01Z	Tournament reward Competition #374318 'Brucia il labirinto' added CompetitionRating -20 (76 -> 56)"
"2026-07-31T09:24:18Z	Player registered for Competition #374520 'Imperatore del Nilo'"
"2026-08-01T20:11:02Z	About to process tournament Competition #374520 'Imperatore del Nilo' result. Place: "
"2026-08-01T20:11:02Z	Tournament reward Competition #374520 'Imperatore del Nilo' added CompetitionRating -20 (56 -> 36)"
"2026-08-02T16:31:32Z	Player registered for Competition #374739 'Khan Siberiano'"
"2026-08-02T16:31:41Z	Player registered for Competition #374740 'Rosso e lucente'"
"2026-08-02T18:23:36Z	Player started scoring time for Competition #374739 'Khan Siberiano' in Group A. IP: 82.57.66.192, Mac: f8461c41b4f4"
"2026-08-02T20:00:32Z	About to process tournament Competition #374739 'Khan Siberiano' result. Place: 15"
"2026-08-02T20:00:32Z	Tournament reward Competition #374739 'Khan Siberiano' added CompetitionRating -2 (36 -> 34)"
"2026-08-02T20:16:49Z	Player started scoring time for Competition #374740 'Rosso e lucente' in Group A. IP: 82.57.66.192, Mac: f8461c41b4f4"
"2026-08-02T22:00:24Z	About to process tournament Competition #374740 'Rosso e lucente' result. Place: 1"
"2026-08-02T22:00:24Z	Tournament reward Competition #374740 'Rosso e lucente' added CompetitionRating 47 (34 -> 81)"
"2026-08-03T05:10:14Z	Player registered for Competition #374837 'Caccia alla Trota su Falcon'"
"2026-08-03T06:02:14Z	Player started scoring time for Competition #374837 'Caccia alla Trota su Falcon' in Group A. IP: 82.57.66.192, Mac: f8461c41b4f4"
"2026-08-03T08:00:13Z	About to process tournament Competition #374837 'Caccia alla Trota su Falcon' result. Place: 2"
"2026-08-03T08:00:13Z	Tournament reward Competition #374837 'Caccia alla Trota su Falcon' added CompetitionRating 27 (81 -> 108)"
"2026-08-03T13:54:42Z	Player registered for Competition #374841 'Scontro finale di Trota Steelhead'"
"2026-08-03T14:05:27Z	Player started scoring time for Competition #374841 'Scontro finale di Trota Steelhead' in Group B. IP: 82.57.66.192, Mac: f8461c41b4f4"
"2026-08-03T16:00:36Z	About to process tournament Competition #374841 'Scontro finale di Trota Steelhead' result. Place: 60"
"2026-08-03T16:00:36Z	Tournament reward Competition #374841 'Scontro finale di Trota Steelhead' added CompetitionRating -4 (108 -> 104)"
"2026-08-03T16:16:55Z	Player registered for Competition #374844 'Luccio al chiaro di luna'"
"2026-08-03T16:17:13Z	Player registered for Competition #374843 'Raduno di cernie giganti!'"
"2026-08-03T18:17:59Z	Player started scoring time for Competition #374843 'Raduno di cernie giganti!' in Group B. IP: 82.57.66.192, Mac: f8461c41b4f4"
"2026-08-03T18:19:21Z	CHEAT: (40) Boat moves TOO fast Max: 23, Actual: 23.02296"
