line
"2026-08-02T05:52:51Z	Player registered for Competition #374733 'Pack den Forelle!'"
"2026-08-02T06:19:10Z	Player started scoring time for Competition #374733 'Pack den Forelle!' in Group A. IP: 92.209.150.144, Mac: 2ccc447afcee"
"2026-08-02T22:33:25Z	About to process tournament Competition #374733 'Pack den Forelle!' result. Place: 10"
"2026-08-02T22:33:25Z	Tournament reward Competition #374733 'Pack den Forelle!' added CompetitionRating 3 (0 -> 3)"
"2026-08-04T20:15:57Z	Player registered for Competition #374929 'Lachs kommt um Mitternacht'"
"2026-08-05T00:00:22Z	About to process tournament Competition #374929 'Lachs kommt um Mitternacht' result. Place: "
"2026-08-05T00:00:22Z	Tournament reward Competition #374929 'Lachs kommt um Mitternacht' added CompetitionRating -13 (3 -> 0)"
"2026-08-05T00:50:36Z	Player registered for Competition #376069 'Hol Dir alle'"
"2026-08-05T18:06:29Z	About to process tournament Competition #376069 'Hol Dir alle' result. Place: "
"2026-08-05T23:58:23Z	Player registered for Competition #376079 'Auf die Größe kommt es an'"
"2026-08-06T02:01:44Z	Player started scoring time for Competition #376079 'Auf die Größe kommt es an' in Group A. IP: 92.209.150.144, Mac: 2ccc447afcee"
"2026-08-06T02:40:20Z	CHEAT: (40) Friction force is too high Actual: 2.92029738426208, Limit (max): 2.90000009536743"
"2026-08-06T03:12:19Z	Player registered for Competition #376080 'Kleinkram am Neherrin River'"
"2026-08-06T04:00:12Z	About to process tournament Competition #376079 'Auf die Größe kommt es an' result. Place: 3"
"2026-08-06T04:00:12Z	Tournament reward Competition #376079 'Auf die Größe kommt es an' added CompetitionRating 23 (0 -> 23)"
"2026-08-06T04:11:18Z	Player started scoring time for Competition #376080 'Kleinkram am Neherrin River' in Group A. IP: 92.209.150.144, Mac: 2ccc447afcee"
"2026-08-06T06:00:21Z	About to process tournament Competition #376080 'Kleinkram am Neherrin River' result. Place: 8"
"2026-08-06T06:00:21Z	Tournament reward Competition #376080 'Kleinkram am Neherrin River' added CompetitionRating 7 (23 -> 30)"
"2026-08-06T06:16:10Z	Player registered for Competition #376082 'Lachs Konflikt'"
"2026-08-06T06:16:18Z	Player registered for Competition #376084 'Der Fluss der Сrank'"
"2026-08-06T09:06:50Z	Player started scoring time for Competition #376082 'Lachs Konflikt' in Group A. IP: 92.209.150.144, Mac: 2ccc447afcee"
"2026-08-06T09:17:31Z	CHEAT: (1) Distance from tackle to attacking fish is long while reeling Actual: 7.1970100402832, Limit (max): 7"
"2026-08-06T10:00:11Z	About to process tournament Competition #376082 'Lachs Konflikt' result. Place: 3"
"2026-08-06T10:00:11Z	Tournament reward Competition #376082 'Lachs Konflikt' added CompetitionRating 30 (30 -> 60)"
"2026-08-06T12:25:02Z	Player started scoring time for Competition #376084 'Der Fluss der Сrank' in Group A. IP: 92.209.150.144, Mac: 2ccc447afcee"
"2026-08-06T13:21:31Z	CHEAT: (40) Friction force is too high Actual: 24.3693809509277, Limit (max): 24.2000007629395"
"2026-08-06T14:00:17Z	About to process tournament Competition #376084 'Der Fluss der Сrank' result. Place: 3"
"2026-08-06T14:00:17Z	Tournament reward Competition #376084 'Der Fluss der Сrank' added CompetitionRating 30 (60 -> 90)"
"2026-08-06T14:13:00Z	Player registered for Competition #376087 'Knochenhecht-Endkampf!'"
"2026-08-06T20:20:48Z	About to process tournament Competition #376087 'Knochenhecht-Endkampf!' result. Place: "
"2026-08-06T20:20:49Z	Tournament reward Competition #376087 'Knochenhecht-Endkampf!' added CompetitionRating -10 (90 -> 80)"
"2026-08-06T20:26:34Z	Player registered for Competition #376094 'Traumbrassenjagd'"
"2026-08-07T11:30:05Z	About to process tournament Competition #376094 'Traumbrassenjagd' result. Place: "
"2026-08-07T11:30:05Z	Tournament reward Competition #376094 'Traumbrassenjagd' added CompetitionRating -13 (80 -> 67)"
"2026-08-07T11:31:01Z	Player registered for Competition #376096 'Präzisionswahn'"
"2026-08-07T12:00:53Z	Player started scoring time for Competition #376096 'Präzisionswahn' in Group A. IP: 92.209.150.144, Mac: 2ccc447afcee"
