t0	t1	slot	cyc	sec	end	species	fishId	kg	len	stamina	exp	expOf	dist	rodLen	fric	reelDur	boatSpeed	nan	tireWarn	putOnStand	moves	fastReeling	finishMove
2026-08-25T14:39:15.448Z	2026-08-25T14:39:17.723Z	5	6	2.3	caught	EurPerch	2000	0.522	0.306	0.9892375	22	42	13.1	2.5	5	54994	0.002	0	0	0	2807	8	1
2026-08-25T14:53:50.463Z	2026-08-25T14:54:08.943Z	4	5	18.5	caught	NrPike	109	5.731	1.126	0.9213707	139	196	39.7	3.1	11	47132	0.001	0	0	0	250	2	1
2026-08-25T14:55:02.664Z	2026-08-25T14:55:19.386Z	3	3	16.7	caught	NrPike	109	5.640	1.115	0.9245242	136	193	42.0	3.1	11	48344	0.001	0	0	0	213		1
2026-08-29T17:36:21.694Z	2026-08-29T17:37:07.820Z	1	3	46.1	caught	MonWelsCatfish	3115	74.842	2.201	0.9645175	3638	2386	20.2	3.1	10	46620	0.004	0	0	0	318	25	1
2026-08-30T18:26:51.101Z	2026-08-30T18:40:44.889Z	4	1	833.8	caught	EuropeanSeaSturgeon	5309	147.635	2.979	0.5834452	24585	11126	38.4	1.7	7	69990	0.037	0	19	0	1263		1
2026-08-30T18:48:09.168Z	2026-08-30T18:48:43.298Z	4	2	34.1	caught	EuropeanSeaSturgeonY	5308	45.970	1.999	0.9585242	4233	2822	27.3	1.7	7	66989	0.011	0	0	0	1301		1
2026-08-30T19:03:39.636Z	2026-08-30T19:03:56.293Z	4	3	16.7	caught	AtlanticHalibutY	5270	25.226	1.281	0.973562	1650	1853	33.3	1.7	7	66891	0.034	0	0	0	560		1
2026-08-30T19:08:22.774Z	2026-08-30T19:08:47.353Z	4	4	24.6	caught	AtlanticHalibutY	5270	29.727	1.393	0.9548147	3056	2184	32.3	1.7	7	66845	0.025	0	1	0	1166		1
2026-08-30T19:11:26.219Z	2026-08-30T19:12:53.995Z	4	5	87.8	caught	AtlanticHalibut	5271	61.731	1.654	0.9132715	8882	5661	34.5	1.7	7	66770	0.035	0	3	0	2692	14	1
2026-08-30T19:27:08.418Z	2026-08-30T19:27:33.939Z	4	7	25.5	caught	AtlanticHalibutY	5270	28.448	1.361	0.9554296	2688	2090	34.5	1.7	7	66503	0.011	0	1	0	1031		1
2026-08-30T19:30:05.731Z	2026-08-30T19:30:24.447Z	4	8	18.7	caught	Meagre	5299	19.259	1.256	0.9263104	1526	2033	33.5	1.7	7	66430	0.015	0	0	0	16	7	1
2026-08-30T19:46:50.568Z	2026-08-30T20:06:00.372Z	4	11	1149.8	caught	GreenlandShark	5281	292.531	3.375	0.2574464	30702	13655	305.1	1.7	7	66366	0.030	0	27	0	689	2	1
2026-08-31T12:08:02.186Z	2026-08-31T12:08:43.531Z	2	1	41.3	caught	AtlanticHalibut	5271	43.096	1.505	0.9358957	7115	3952	31.8	1.7	7	69990	0.244	0	0	0	110		1
