PolledNickname,MatchedUsername,Level,Country,IsPayer
2Wally,,,,0
76,,,,0
A00_Vince,A00_Vince,101,it,1
a6l5e4x2,a6l5e4x2,96,es,1
Abelf724,abelf724,108,es,0
Ace_Slayer69,Ace_Slayer69,72,us,1
Adam-SUFC-_-,Adam-SUFC-_-,109,gb,1
adas.snaj,,,,0
addymay121014,addymay121014,3,us,0
Adiwern1982,Adiwern1982,94,de,1
AdriMaxGames,AdriMaxGames,63,es,0
Alberto_arcana,alberto_arcana,110,es,1
Alex,Alex,2,ua,0
Alex_Requena23,Alex_Requena23,78,us,1
AlexBrivs,AlexBrivs,110,gb,1
Alkestylebiches,,,,0
Amir_Zamas,Amir_Zamas,101,my,1
ANAMNESIS2012,ANAMNESIS2012,43,us,1
Andy Cavalera,,,,0
Angelprofi20,Angelprofi20,88,de,1
angelvengador28,angelvengador28,106,us,1
Anonim56,,,,0
arandjell,arandjell,78,de,1
Aras-uk,Aras-uk,67,gb,1
Arenken_27,arenken_27,54,us,1
Argiris - dio,,,,0
Arktyczny-wojo,Arktyczny-Wojo,110,pl,1
Ash-themaster14,Ash-themaster14,78,us,0
Atuliki,Atuliki,109,de,1
aug0297,aug0297,32,us,1
Auréle,,,,0
aussie10475,aussie10475,64,ca,1
Australia.  Outgoing_ape,,,,0
AvlisAR,avlisAR,28,br,0
AyaNextDoor4556,AyaNextDoor4556,60,za,1
AznSaiyan,AznSaiyan,102,nl,1
B2c41,b2c41,80,fr,1
Bacon_C-G-J-J-A,Bacon_C-G-J-J-A,83,us,1
Badgerbaba12,BadgerBaba12,110,us,1
BaiterGod106,BaiterGod106,88,us,1
Baked_bean1123,Baked_bean1123,84,us,1
BallisticBow123,BallisticBow123,102,us,1
Balpesc,balpesc,109,br,1
bart1492,bart1492,50,fr,1
BartonKiller001,BartonKiller001,19,fr,0
bazookabob45,bazookabob45,104,us,1
BB-sin-lime,BB-sin-lime,102,jp,1
BDMC,bdmc,50,ca,1
Beaviszilla,Beaviszilla,96,us,1
Benjamin-B03,Benjamin-B03,110,us,1
bennyberrios,bennyberrios,107,us,1
BERLIOZLECHIANT,BERLIOZLECHIANT,102,fr,1
Best_vindu,best_vindu,100,ar,1
Big e,,,,0
Bigbuffdaddy007,Bigbuffdaddy007,107,us,1
Billybats1981,,,,0
Blackychann79,,,,0
blanquito720,blanquito720,44,us,1
BlueRaven_71,BlueRaven_71,100,us,1
bogdi201104,bogdi201104,39,ro,0
BoltyHolo_33,BoltyHolo_33,53,us,1
Bottimara,BottiMara,98,fi,1
bra_mik41,bra_mik41,56,fi,1
brado_serrano3,brado_serrano3,29,br,0
Buffy28630,Buffy28630,110,us,1
butterig_insel,butterig_Insel,54,de,0
BuzzaBoss,BuzzaBoss,104,au,1
C_J_ 92,,,,0
CactusKing27,CactusKing27,109,us,0
Caesar,,,,0
Canon4733,canon4733,110,us,1
CAPO DEI CAPI,,,,0
Cappe1173_,cappe1173_,66,se,1
CapsElite8,CapsElite8,108,us,1
Cardy,,,,0
carlitostevez74,carlitostevez74,106,it,1
CAST_AND_CONQUER,CAST_AND_CONQUER,110,us,1
cdv_cachi2022,cdv_cachi2022,80,ar,1
Cedric-02000,Cedric-02000,110,fr,1
Cemreficici,cemreficici,105,tr,1
CFC-SAM-FISHERbr,CFC-SAM-FISHERbr,110,br,1
CGHoopes,CGHoopes,83,us,1
chef-YT,chef-YT,108,fr,1
Chgufyfowoyce,,,,0
Chisme,Chisme,101,es,1
Chromacron,Chromacron,93,at,1
ChuRuLu,ChuRuLu,101,jp,1
Chusge__,Chusge__,81,es,1
CJGoal1,,,,0
CJRavo89,CJRavo89,92,gb,1
CND_Marksmen,CND_Marksmen,81,ca,1
Cocta2485,Cocta2485,53,hr,1
Conker,,,,0
Corvan17,corvan17,103,ar,1
Costwyn_69,Costwyn_69,74,us,1
CP_DuduBeder,CP_DuduBeder,110,br,1
CWOViperGhost,CWOViperGhost,91,us,1
Cycopious,Cycopious,89,us,1
D_Sonny89,D_Sonny89,103,it,1
Daemon-313,Daemon-313,102,gb,1
Daghexmunegu,DagheXMunegu,110,fr,1
damocv,damocv,58,gb,1
Dangyu98,dangyu98,110,hk,1
Dani_pescar18,Dani_pescar18,87,ro,1
DannSalvatore12,DannSalvatore12,22,my,0
dantisch-Bemme3,dantisch-Bemme3,14,de,0
Darkev_21,Darkev_21,110,fr,1
DarkGhotsJ,DarkGhotsJ,84,co,1
DarthSphinx,DARTHSPHINX,106,ca,1
Davimee_05,Davimee_05,61,gb,1
DaWiZkiD187,DaWiZkiD187,9,za,0
DecendsTv,DecendsTv,101,us,1
Deerslayer465,Deerslayer465,91,us,1
Dei1110,dei1110,77,cl,1
DemonChick-018,DemonChick-018,109,za,1
demoniome,demoniome,61,fr,0
Destroy_62120,DESTROY_62120,109,fr,1
Devilshank-,devilshank-,48,us,1
DiaBlodu33,DiaBlodu33,64,fr,1
diegoydario832,diegoydario832,70,es,1
DigitalCoder,DigitalCoder,93,us,1
Domidom1990,,,,0
Dommer111,dommer111,51,ie,1
Don__kaos90,Don__Kaos90,105,it,1
DON_MAIKOL,DON_MAIKOl,110,es,1
DouglasMocz,DouglasMocz,110,br,1
Dr_esc_83,Dr_esc_83,83,ua,1
drkheart,drkheart,106,us,1
dry-soap2011,dry-soap2011,82,hr,0
dtale1,dtale1,105,us,1
Dubz_iNsTiNcTz,Dubz_iNsTiNcTz,72,gb,1
Dudu007,,,,0
durydury,durydury,107,pt,1
Dwallitus,Dwallitus,110,fr,1
DydouX_,DydouX_,65,fr,1
Dying_league99,dying_league99,69,us,1
dytlove929,dytlove929,101,hk,0
Earthdistance,earthdistance,53,gb,1
Edgewater-1970,Edgewater-1970,110,us,1
Ekffazr,,,,0
Ekiplayz82,Ekiplayz82,81,za,1
el_brayan_2707,el_brayan_2707,44,ar,0
el_lito1981,el_lito1981,107,es,1
elbahri_16,Elbahri_16,57,eN,0
Ellgringo1983,ellgringo1983,110,lu,1
ElsaErazorII,ElsaErazorII,110,de,1
Elzbeth,,,,0
EpsilonJ13,EpsilonJ13,21,au,0
ericeazye1967,ericeazye1967,110,nl,1
escorpion7328,ESCORPION7328,98,mx,1
Eu adoro pescar,,,,0
Evvvy3,Evvvy3,27,ca,0
EXD_BRYAN34,EXD_BRYAN34,43,es,1
FaKe_angelitoo,FaKe_angelitoo,83,es,1
FarmerGus424,FarmerGus424,43,ca,1
Fatboy-1954,,,,0
FB-SPARTACUS,FB-Spartacus,102,be,1
Fernandogpxd,Fernandogpxd,41,us,1
FeRo1823,FeRo1823,51,pl,1
Ferturusca,FerTurusca,59,es,1
fieldmasternz,fieldmasternz,91,nz,1
fiestero45,fiestero45,109,es,1
Finezxer,Finezxer,71,pl,1
Firesquad_youtub,firesquad_youtub,55,us,1
Fishiestudios,,,,0
FishingMatt01,FishingMatt01,52,gb,0
FishinPlanetDude,FISHINPLANETDUDE,31,au,1
FISHINPLANTEBRUH,,,,0
FISSSSHHH,,,,0
flanno2,flanno2,110,gb,1
Flash-fresh67,flash-fresh67,76,us,1
Folding_Bulge,Folding_Bulge,14,au,0
For-Fishs-Sake,For-Fishs-Sake,110,ca,1
FP_MasterGamer,FP_MasterGamer,110,de,1
FPI FIT_Clavale61,,,,0
Fracaja,fracaja,94,nl,1
freccia_metodica,,,,0
Fuma_On_Mk,,,,0
Futbolkt21,futbolkt21,62,us,1
gabytucho,,,,0
Game_Addict79,Game_Addict79,21,us,1
GamerAddict79,GamerAddict79,40,us,1
g-a-n-d-z-i-c,g-a-n-d-z-i-c,76,us,1
G-DOT-BOSSMAN,G-DOT-BOSSMAN,83,gb,1
General_Soul970,General_Soul970,93,de,1
geri1,geri1,51,hu,1
German-Ale-03,German-Ale-03,49,ar,1
Geto,,,,0
godyone1964,godyone1964,74,jp,1
Graf-Drag-Cola,Graf-Drag-Cola,88,de,1
Gravitaxe-x8,,,,0
Great_gaiter39,great_gaiter39,82,ca,1
GreenGlitch77,GreenGlitch77,3,us,0
Greenz,Greenz,93,us,0
Grimmrikr,Grimmrikr,110,ca,1
GRUMPY--TACO,GRUMPY--TACO,108,us,1
GRUWELIJK1973,Gruwelijk1973,110,nl,1
guto15928,,,,0
guyfish10,guyfish10,110,es,1
habibbzee,habibbzee,76,us,1
HamHands93,HamHands93,64,us,1
hampig50,hampig50,103,us,1
hanterxx_11,hanterxx_11,104,ua,1
Hardus555,Hardus555,78,za,1
HarrisHawk91,HarrisHawk91,80,gb,1
hawai,,,,0
HectorCross,,,,0
Hellfirebunny,hellfirebunny,84,be,1
Hellyan_666,hellyan_666,104,us,1
Henshow,,,,0
Herby_verstinx2,,,,0
Hiddenleafs1,hiddenleafs1,60,us,1
hikup_wrt,hikup_Wrt,26,be,1
HirimMaxim,,,,0
Honey_sook,honey_sook,89,au,1
Hophead22,Hophead22,91,us,1
Hopp,hopp,92,ca,1
HOTDOGY,,,,0
HuGh_P333n,HuGh_P333n,28,gb,1
Humbertinho_game,Humbertinho_game,53,br,1
HunQiii-,HunQiii-,89,fi,1
HunSkelper-JJ88,HunSkelper-JJ88,105,gb,1
Hype_DS00,Hype_DS00,110,gb,1
