PolledNickname,MatchedUsername,Level,Country,IsPayer
@Quack-Attack83,,,,0
11VERMILLION,11VERMILLION,95,id,1
16_denver,,,,0
96Patryk,96Patryk,100,pl,1
AFC-Azeskk,AFC-Azeskk,100,id,1
AFC-SpingX7,,,,0
ajirasta08-SIDATZEUS,ajirasta08-SIDATZEUS,100,id,1
AnarchyDGAF,AnarchyDGAF,100,us,1
AnatoliyRivne,AnatoliyRivne,100,ua,1
AnglerApaYa,AnglerApaYa,94,id,0
AT_NeoLex,AT_NeoLex,100,lt,1
BabaPikeFishing,BabaPikeFishing,100,fr,1
Bank,Bank,1,eN,0
Brad3134,Brad3134,37,us,0
Bramahi-mahi,Bramahi-mahi,100,id,1
Caknarfisherman0.2,Caknarfisherman0.2,33,id,0
Caneli_sfishingplanet,,,,0
CapitanAkap,CapitanAkap,26,es,0
chevylover223,Chevylover223,34,us,0
CrakSkun,CrakSkun,49,es,1
D3W,D3W,63,th,0
DaenerysTargaryen-VIl,,,,0
DanielMartinez,danielmartinez,11,bo,0
Eryka,Eryka,94,hu,1
FamousQuestAssassin36,FamousQuestAssassin36,71,au,1
FARWAN_XD,FARWAN_XD,99,id,0
Fishing_Lemon,fishing_Lemon,68,ua,1
Focus_1314,Focus_1314,87,th,1
FoxconNnBG,FoxconNnBG,100,bg,1
FurryNetTheif1,,,,0
Fuzzy21202,Fuzzy21202,18,us,0
G.R.A.F,G.R.A.F,100,ua,1
GiganticBarnclekozak,,,,0
GoodGuyHits,GoodGuyHits,90,no,1
GUANAJUATO.MEXICO,GUANAJUATO.MEXICO,76,mx,1
Harolduyyyy,Harolduyyyy,76,ph,1
Heinz-Harald,Heinz-Harald,70,id,0
Herushim,Herushim,80,bg,0
Hirai-Ren,Hirai-Ren,28,id,0
Holyfelf,holyfelf,26,gb,0
IDA_NILON100,IDA_NILON100,87,id,1
IDN-Jacob,,,,0
Ilieser,ilieser,60,br,1
IwakUcengHunter,,,,0
Jesus712018,,,,0
Jf-fishing,,,,0
Jhanmaggot,Jhanmaggot,70,co,0
Jons,JonS,3,us,0
KamuiUA,KamuiUA,94,ua,1
Karachekrak_ZP_UA,Karachekrak_ZP_UA,83,hr,1
Klepon_Balappp,Klepon_Balappp,100,id,1
KM56,KM56,97,eN,1
Koroku,koroku,22,bo,0
Kuroko023,kuroko023,57,bo,0
Lam28082012,Lam28082012,69,vn,0
LeopoldStotch,LeopoldStotch,91,dz,0
LOCOL99,LOCOL99,61,ar,0
loploplop,loploplop,42,id,0
LupinEmi,LupinEmi,59,mx,1
Mba_Ika,Mba_Ika,43,id,1
mbokne_ancok,mbokne_ancok,97,id,0
Mboyak898,Mboyak898,71,id,1
MDIOgre,MDIOgre,35,us,1
Melody,Melody,3,vn,0
MinaKiMiko1,MinaKiMiko1,97,th,1
Minhaz Shakil,,,,0
MonstaFishing,MonstaFishing,68,ph,1
Name: omarxd       level:86,,,,0
NanyaAjaDiBecandain,NanyaAjaDiBecandain,87,id,1
Navy,Navy,2,us,0
nd1245,nd1245,21,us,0
Neko7T7,Neko7T7,73,ni,0
no.pvp.ok,no.pvp.ok,100,th,1
Non,Non,3,th,0
Paatriick,Paatriick,63,ro,1
PaksiwNiDrei,PaksiwNiDrei,57,ph,0
Pangara_F,Pangara_F,81,id,1
PapillonSerge,PapillonSerge,100,be,1
PESCADOR_TRAIRAO,PESCADOR_TRAIRAO,79,br,1
Piolgntng,Piolgntng,100,id,1
Piyakronn,Piyakronn,64,th,0
polo826,polo826,28,ar,0
Rajil Afwa,,,,0
ranzz_fp,ranzz_fp,100,id,1
RapalaProFisher,RapalaProFisher,98,at,1
Roman29020,Roman29020,93,ua,1
Rushtize,Rushtize,83,id,0
Santinooooo,,,,0
Seanbet,,,,0
Siu1Maai2Lou2,Siu1Maai2Lou2,42,au,0
SK_B_07,SK_B_07,87,th,1
StrikePaduwww,StrikePaduwww,25,my,1
Sumthingfishy420,,,,0
TaruMR11,taruMR11,100,ar,0
ThailandAmz,ThailandAmz,100,th,1
THE-Xx-UMBRE-xX,THE-Xx-UMBRE-xX,100,cl,1
tizu_basah,tizu_basah,100,id,1
Tonecapone1,Tonecapone1,43,ca,1
Tongiiii2TH,Tongiiii2TH,94,th,1
TsukijanSensei,TsukijanSensei,100,id,1
UCHIHA_BAYU,UCHIHA_BAYU,100,id,1
Velardi_77,Velardi_77,99,it,1
VIETNAMxXx,VIETNAMxXx,91,jp,1
WhiteTrout007,WhiteTrout007,100,th,0
Wolf_maitresse,Wolf_Maitresse,48,fr,1
X-Daiwa,,,,0
Xiztnc,Xiztnc,54,pl,1
Zlayer95,Zlayer95,7,us,0
zliouba,,,,0
