PolledNickname,MatchedUsername,Level,Country,IsPayer
acon099786,acon099786,62,UNITED KINGDOM,1
Aesiour,Aesiour,48,UNITED STATES,1
akirosan07,akirosan07,110,GERMANY,1
Ala Montana,Ala Montana,97,UNITED KINGDOM,1
AlienDoge698407,AlienDoge698407,68,UNITED KINGDOM,1
Alkazar719,Alkazar719,85,UNITED STATES,1
andylemming,Andylemming,47,UNITED STATES,1
Anton51970,Anton51970,101,THAILAND,1
aronnTTv,aronnTTv,80,SPAIN,1
Ash,,,,0
AshleyLynn86574,AshleyLynn86574,72,UNITED STATES,1
ATFk1llsDogs,ATFk1llsDogs,65,UNITED STATES,1
AttyX666,AttyX666,86,HUNGARY,1
AzureAir2184164,AzureAir2184164,84,ITALY,1
Badassredck,badassredck,100,UNITED STATES,1
Badger3297,Badger3297,106,UNITED STATES,1
ballinxaz,ballinxaz,49,UNITED STATES,1
Basketball2k864,Basketball2k864,86,UNITED STATES,1
BatteMrBrams,BatteMrBrams,93,FRANCE,1
BeastMaster6673,BeastMaster6673,103,UNITED STATES,1
benaa95,BenAA95,77,UNITED STATES,1
Benceft66,Benceft66,99,HUNGARY,1
BEYOND xxHELP,,,,0
BIG AL GREG,BIG AL GREG,89,UNITED STATES,1
Bionoc Bark,,,,0
Blueorchid7495,BlueOrchid7495,86,INDONESIA,0
BowlerGaming948,BowlerGaming948,106,UNITED STATES,1
Bradmanjr,,,,0
Brazenleader#641,,,,0
brycevotto1414,brycevotto1414,39,UNITED STATES,1
BuggCityEnt,BuggCityEnt,65,UNITED STATES,1
Burnvictim666,BurnVictim666,94,UNITED STATES,1
bwojo122,bwojo122,42,UNITED STATES,1
Captaineuro3989,Captaineuro3989,82,SWEDEN,1
Cartucho67,Cartucho67,41,ARGENTINA,1
Catfish7305,Catfish7305,72,UNITED STATES,1
CezarXX8471,CezarXX8471,94,GERMANY,1
Chapattack8135,Chapattack8135,77,UNITED STATES,1
Communiqe,Communiqe,97,UNITED STATES,1
Coucoupolo4862,Coucoupolo4862,80,CANADA,1
Courtney benning,,,,0
DANKVKUSH420,DANKVKUSH420,74,UNITED STATES,1
Danrance12,DanRance12,76,AUSTRALIA,1
Dark88c7,Dark88c7,104,ITALY,1
DarkPass77,DarkPass77,110,CANADA,1
Darth Imperatus,Darth Imperatus,110,UNITED STATES,1
Daumier6080,Daumier6080,93,SPAIN,1
DavecusPrime,DavecusPrime,59,UNITED STATES,1
Dbomb Deadly,Dbomb Deadly,57,CANADA,1
DeaserMK2,DeaserMK2,81,UNITED KINGDOM,1
deathbybellyrub,,,,0
Delboy7676,Delboy7676,104,UNITED KINGDOM,1
DentalMango4,DentalMango4,59,UNITED STATES,1
Diablogalaxi487,Diablogalaxi487,92,FRANCE,1
Diegosouza99950,Diegosouza99950,53,BRAZIL,1
Dinonuggies1215,,,,0
diogo,,,,0
DocDanger776233,DocDanger776233,94,UNITED STATES,1
Dony2662,DONY2662,110,ITALY,1
DriftMonkey5750,DriftMonkey5750,81,UNITED KINGDOM,1
DSX DREAMZ,DSX DREAMZ,79,UNITED STATES,1
DuMbDoNuT,,,,0
Durt Baghe,Durt Baghe,104,UNITED STATES,1
DziudoRok,DziudoRok,69,LITHUANIA,1
EBH PHOENIXA,EBH PHOENIXA,55,UNITED STATES,1
ElfyFrost,ElfyFrost,22,AUSTRALIA,0
Elpachino99,,,,0
ELTITOGRAVY6,ELTITOGRAVY6,108,FRANCE,1
Enemybaker95664,EnemyBaker95664,109,UNITED STATES,1
Etorrsc,Etorrsc,83,ECUADOR,0
F4Zion Weezy,F4Zion Weezy,56,FRANCE,1
Face apad12,Face apad12,41,HUNGARY,1
FisherMan1120,FisherMan1120,87,UNITED KINGDOM,1
Fishingbro1861,Fishingbro1861,41,UNITED STATES,1
Flourylmp,,,,0
Fluro78,,,,0
Flystergrilo29,FlysterGrilo29,53,BRAZIL,1
Frankie20213855,Frankie20213855,92,INDIA,1
Fumbles80,fumbles80,80,UNITED KINGDOM,0
GALAXYXFORCE722,GALAXYXFORCE722,100,FRANCE,1
GhostSlayer8648,GhostSlayer8648,90,UNITED STATES,1
Gonzo1964,Gonzo1964,105,CANADA,1
gregorian_andy,,,,0
GTz Turboturtle,GTz TurboTurtle,110,SWITZERLAND,1
H3ADHUNT3R2222,H3ADHUNT3R2222,101,UNITED STATES,1
Haplo8098,Haplo8098,105,SPAIN,1
HappyHoodz,HappyHoodz,92,UNITED STATES,1
Hi,,,,0
highgamer3421,highgamer3421,51,ESTONIA,1
hollisbot,hollisbot,72,UNITED STATES,1
Hugo TZH,Hugo TZH,109,SPAIN,1
IDONTWIN1924,IDONTWIN1924,98,UNITED KINGDOM,1
iissmmaa195535,iissmmaa195535,80,SPAIN,1
Inumakis4474,Inumakis4474,35,ARGENTINA,1
Itsshan420,Itsshan420,57,AUSTRALIA,1
Iurito7282,Iurito7282,66,BRAZIL,0
Jack1314,Jack1314,106,UNITED KINGDOM,1
Jatmae,JATMAE,59,AUSTRALIA,1
JUANSHOULDINER,JUANSHOULDINER,57,COLOMBIA,0
junkymonkey258,junkymonkey258,58,UNITED STATES,1
Jwooly22,,,,0
Jynxkies,Jynxkies,98,UNITED STATES,1
K1NG2981,K1NG2981,49,UNITED STATES,1
KarolKARP,KarolKARP,100,POLAND,1
Katanzy,Katanzy,51,MEXICO,0
Kazi77,kazi77,108,UNITED KINGDOM,1
