OriginalNick,Variant,Source,MatchedUsername,Level,Country,IsPayer
2Wally,TwoWally,username,,,,0
adas.snaj,adas_snaj,username,Adas_snaj,21,pl,1
adas.snaj,adassnaj,username,,,,0
Andy Cavalera,Andy_Cavalera,username,,,,0
Andy Cavalera,AndyCavalera,username,,,,0
Argiris - dio,Argiris,username,,,,0
Argiris - dio,Argirisdio,username,,,,0
Argiris - dio,Argiris-dio,username,argiris-dio,66,gr,1
Auréle,Aurele,username,,,,0
Auréle,Aurèle,username,,,,0
Australia.  Outgoing_ape,Outgoing_ape,username,,,,0
Australia.  Outgoing_ape,Outgoingape,username,,,,0
Big e,Big_e,username,,,,0
Big e,Bige,username,,,,0
C_J_ 92,C_J_92,username,C_J_92,27,gb,1
C_J_ 92,CJ_92,username,,,,0
CAPO DEI CAPI,CAPO_DEI_CAPI,username,,,,0
CAPO DEI CAPI,CAPODEICAPI,username,,,,0
Elzbeth,Elizbeth,username,,,,0
Elzbeth,Elsbeth,username,,,,0
Fatboy-1954,Fatboy_1954,username,fatboy_1954,72,us,1
Fatboy-1954,Fatboy1954,username,,,,0
FPI FIT_Clavale61,Clavale61,username,,,,0
FPI FIT_Clavale61,FIT_Clavale61,username,FIT_Clavale61,107,it,1
FPI FIT_Clavale61,FPI_FIT_Clavale61,username,,,,0
Gravitaxe-x8,Gravitaxe_x8,username,,,,0
Gravitaxe-x8,Gravitaxex8,username,,,,0
hawai,hawaii,username,,,,0
jm costarica,jm,username,,,,0
jm costarica,jm_costarica,username,,,,0
jm costarica,jmcostarica,username,jmcostarica,103,cr,0
Lt_major_laser,Lt.major.laser,username,,,,0
Lt_major_laser,Ltmajorlaser,username,,,,0
Malachi Bey (inchiwetrust PS5),inchiwetrust,username,InCHIweTrust,95,us,1
Malachi Bey (inchiwetrust PS5),Malachi Bey,username,,,,0
Malachi Bey (inchiwetrust PS5),MalachiBey,username,,,,0
newish - ferry 1234,ferry1234,username,,,,0
newish - ferry 1234,newish,username,,,,0
newish - ferry 1234,newish-ferry1234,username,newish-ferry1234,18,gb,0
No ty,No_ty,username,,,,0
No ty,Noty,username,,,,0
Panda Man Jack,Panda_Man_Jack,username,,,,0
Panda Man Jack,PandaManJack,username,,,,0
Quiberon 1958,Quiberon_1958,username,,,,0
Quiberon 1958,Quiberon1958,username,quiberon1958,110,fr,1
SHOGUN 77,SHOGUN_77,username,,,,0
SHOGUN 77,SHOGUN77,username,,,,0
strict88 [test],strict88,username,,,,0
Tamasannttamigayu 90,Tamasannttamigayu,username,,,,0
Tamasannttamigayu 90,Tamasannttamigayu_90,username,,,,0
Tamasannttamigayu 90,Tamasannttamigayu90,username,,,,0
The goon man,The_goon_man,username,,,,0
The goon man,Thegoonman,username,,,,0
TypsyGrasshopper....,TypsyGrasshopper,username,,,,0
