OriginalNick,Variant,Source,MatchedUsername,Level,Country,IsPayer
@Quack-Attack83,Quack_Attack83,username,,,,0
@Quack-Attack83,QuackAttack83,username,,,,0
@Quack-Attack83,Quack-Attack83,username,Quack-Attack83,100,us,1
16_denver,16denver,username,,,,0
AFC-SpingX7,AFCSpingX7,username,,,,0
AFC-SpingX7,AFC-SpringX7,username,,,,0
Caneli_sfishingplanet,Caneli,username,,,,0
Caneli_sfishingplanet,Caneli_s,username,,,,0
DaenerysTargaryen-VIl,DaenerysTargaryen,username,DaenerysTargaryen,4,id,0
DaenerysTargaryen-VIl,DaenerysTargaryen-VII,username,DaenerysTargaryen-VII,100,id,1
FurryNetTheif1,FurryNetThief,username,FurryNetThief,1,ve,0
FurryNetTheif1,FurryNetThief1,username,,,,0
GiganticBarnclekozak,GiganticBarnacle_kozak,username,,,,0
GiganticBarnclekozak,GiganticBarnaclekozak,username,GiganticBarnacleKozak,98,tr,1
IDN-Jacob,IDN_Jacob,username,,,,0
IDN-Jacob,Jacob,username,jacob,2,eN,0
Jf-fishing,Jf_fishing,username,JF_Fishing,3,id,0
Jf-fishing,JfFishing,username,JfFishing,2,fr,0
Minhaz Shakil,Minhaz_Shakil,username,,,,0
Minhaz Shakil,MinhazShakil,username,,,,0
Name: omarxd       level:86,omarxd,username,omarxd,86,gt,1
Rajil Afwa,Rajil_Afwa,username,,,,0
Rajil Afwa,RajilAfwa,username,,,,0
Santinooooo,Santino,username,Santino,2,us,0
X-Daiwa,X_Daiwa,username,,,,0
X-Daiwa,XDaiwa,username,,,,0
